Solution Length,Nodes Expanded,Runtime,Solution
2,3,0.019977807998657227,[6, 14]
2,3,0.0239412784576416,[24, 2]
2,4,0.034903764724731445,[14, 10]
2,3,0.026929855346679688,[8, 16]
2,3,0.03390336036682129,[6, 14]
2,3,0.023972749710083008,[20, 14]
2,4,0.03191208839416504,[12, 14]
2,3,0.02691507339477539,[20, 6]
2,3,0.021938800811767578,[24, 2]
2,4,0.03490185737609863,[16, 14]
2,3,0.031919240951538086,[8, 16]
2,4,0.050865888595581055,[10, 16]
2,3,0.019962072372436523,[18, 2]
2,5,0.04088997840881348,[16, 20]
2,3,0.02692580223083496,[2, 12]
2,4,0.03588366508483887,[12, 14]
2,3,0.025931835174560547,[18, 10]
2,3,0.0249330997467041,[24, 2]
2,5,0.036891937255859375,[14, 24]
2,3,0.02194070816040039,[22, 2]
2,3,0.020935773849487305,[6, 6]
2,3,0.02191472053527832,[8, 10]
2,3,0.03391218185424805,[18, 16]
2,3,0.02296900749206543,[20, 22]
2,3,0.023935317993164062,[8, 10]
2,5,0.042922258377075195,[14, 24]
2,3,0.025949954986572266,[4, 12]
2,3,0.01998448371887207,[18, 22]
2,3,0.02095627784729004,[22, 20]
2,3,0.027935028076171875,[4, 14]
2,3,0.029912233352661133,[24, 22]
2,3,0.02995610237121582,[22, 24]
2,3,0.019948482513427734,[2, 8]
2,3,0.031905412673950195,[2, 4]
2,3,0.02793407440185547,[22, 6]
2,3,0.021939992904663086,[4, 14]
2,5,0.037912845611572266,[12, 18]
2,3,0.031916141510009766,[18, 20]
2,3,0.020940542221069336,[22, 14]
2,3,0.024934053421020508,[6, 12]
2,5,0.03793644905090332,[14, 24]
2,3,0.019944190979003906,[20, 24]
2,3,0.023934364318847656,[22, 20]
2,5,0.04486203193664551,[10, 20]
2,3,0.020940303802490234,[20, 24]
2,3,0.02692890167236328,[22, 6]
2,4,0.030902862548828125,[16, 14]
2,3,0.023939132690429688,[2, 14]
2,4,0.033911943435668945,[12, 14]
2,3,0.019981861114501953,[6, 14]
2,3,0.02193474769592285,[22, 4]
2,5,0.04492807388305664,[16, 20]
2,3,0.023942232131958008,[22, 2]
2,3,0.02294015884399414,[20, 12]
2,5,0.04990434646606445,[12, 18]
